孕 B-PERSON_GROUP
微 M-DRUG_EFFICACY
循 M-DRUG_EFFICACY
环 E-DRUG_EFFICACY
。 0
如 0
与 0
其 0
他 0
药 0
物 0
同 0
时 0
使 0
用 0
可 0
能 0
会 0
发 0
生 0
药 0
物 0
相 0
互 0
作 0
用 0
， 0
详 0
情 0
请 0
咨 0
询 0
医 0
师 0
或 0
药 0
师 0
。 0
补 0
气 0
， 0
养 0
血 0
， 0
调 0
经 0
。 0
用 0
于 0
疲 B-SYMPTOM
乏 M-SYMPTOM
无 M-SYMPTOM
力 E-SYMPTOM
补 B-DRUG_EFFICACY
气 E-DRUG_EFFICACY
， 0
养 B-DRUG_EFFICACY
血 E-DRUG_EFFICACY
， 0
调 B-DRUG_EFFICACY
经 E-DRUG_EFFICACY
。 0
用 0
于 0
疲 0
乏 0
无 0
力 0
， 0
心 0
慌 0
气 0
短 0
， 0
行 B-SYMPTOM
经 M-SYMPTOM
腹 M-SYMPTOM
痛 E-SYMPTOM
， 0
经 B-SYMPTOM
血 M-SYMPTOM
不 M-SYMPTOM
畅 E-SYMPTOM
孕 B-PERSON_GROUP
妇 E-PERSON_GROUP
慎 0
用 0
。 0
每 0
片 0
重 0
0 0
. 0
5 0
g 0
口 0
服 0
。 0
一 0
次 0
5 0
片 0
， 0
一 0
日 0
2 0
次 0
。 0
非 0
处 0
方 0
药 0
物 0
（ 0
甲 0
类 0
） 0
尚 0
不 0
明 0
确 0
。 0
